ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY
63581743,0,14320,60,0,11,67349,No,0,z_No,M,PhD,Professional,14,Private,14230,11,Minivan,yes,4461,2,No,3,0,18,0,Highly Urban/ Urban
132761049,0,20475,43,0,11,91449,No,257252,z_No,M,z_High School,z_Blue Collar,22,Commercial,14940,1,Minivan,yes,0,0,No,0,0,1,0,Highly Urban/ Urban
921317019,0,18950,48,0,11,52881,No,0,z_No,M,Bachelors,Manager,26,Private,21970,1,Van,yes,0,0,No,2,0,10,0,Highly Urban/ Urban
727598473,0,23441,35,1,10,16039,No,124191,Yes,z_F,z_High School,Clerical,5,Private,4010,4,z_SUV,no,38690,2,No,3,0,10,0,Highly Urban/ Urban
450221861,0,17689,51,0,14,,No,306251,Yes,M,<High School,z_Blue Collar,32,Private,15440,7,Minivan,yes,0,0,No,0,0,6,0,Highly Urban/ Urban
743146596,0,18035,50,0,,114986,No,243925,Yes,z_F,PhD,Doctor,36,Private,18000,1,z_SUV,no,19217,2,Yes,3,0,17,0,Highly Urban/ Urban
871024631,0,23867,34,1,12,125301,Yes,0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,17430,1,Sports Car,no,0,0,No,0,2946,7,1,Highly Urban/ Urban
792300541,0,16496,54,0,,18755,No,,Yes,z_F,<High School,z_Blue Collar,33,Private,8780,1,z_SUV,no,0,0,No,0,0,1,0,Highly Urban/ Urban
7945239,1,21810,40,1,11,50815,Yes,0,z_No,M,z_High School,Manager,21,Private,18930,6,Minivan,no,3295,1,No,2,6477,1,1,Highly Urban/ Urban
3577610,0,20322,44,2,12,43486,Yes,0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,5900,10,z_SUV,no,0,0,No,0,0,10,0,z_Highly Rural/ Rural
892208080,1,22629,37,2,,107961,No,333680,Yes,M,Bachelors,z_Blue Collar,44,Commercial,16970,1,Van,yes,2374,1,Yes,10,4021,7,1,Highly Urban/ Urban
77382913,0,23703,34,0,10,62978,No,0,z_No,z_F,Bachelors,Clerical,34,Private,11200,1,z_SUV,no,0,0,No,0,2501,1,1,Highly Urban/ Urban
856886560,0,18193,50,0,7,106952,No,0,z_No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,0,0,No,1,0,17,0,z_Highly Rural/ Rural
308455362,0,16796,53,0,14,77100,No,0,z_No,z_F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,0,0,No,0,6077,11,1,Highly Urban/ Urban
989828809,0,20625,43,0,5,52642,No,209970,Yes,z_F,Masters,Professional,36,Private,22420,7,Minivan,no,0,0,No,0,0,1,0,z_Highly Rural/ Rural
376482434,0,16134,55,0,11,59162,No,180232,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,5028,2,Yes,3,0,9,0,Highly Urban/ Urban
665591504,0,17002,53,0,11,130795,No,0,z_No,M,PhD,,64,Commercial,28340,6,Panel Truck,yes,0,0,No,3,1267,10,1,Highly Urban/ Urban
713692930,0,23606,35,2,,21204,Yes,0,z_No,M,z_High School,Clerical,74,Private,9230,6,Pickup,no,0,0,Yes,0,0,4,0,z_Highly Rural/ Rural
588888550,0,19741,45,0,0,0,No,106859,Yes,z_F,<High School,Home Maker,48,Private,6000,1,z_SUV,no,0,0,No,3,2920,5,1,Highly Urban/ Urban
140015922,0,22134,39,3,12,51884,Yes,180951,z_No,z_F,Bachelors,Clerical,43,Private,10590,6,z_SUV,no,0,0,No,0,0,13,0,z_Highly Rural/ Rural
162166370,0,14720,59,0,12,87460,No,0,z_No,M,z_High School,Manager,45,Private,15420,1,Minivan,yes,44857,2,No,4,4111,1,1,Highly Urban/ Urban
884513944,0,20809,42,0,11,59945,No,192207,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,no,0,0,No,0,0,16,0,Highly Urban/ Urban
627708979,0,23999,34,3,13,34019,No,91875,Yes,z_F,Masters,Lawyer,27,Private,8300,7,z_SUV,no,0,0,No,0,0,20,0,Highly Urban/ Urban
116375554,0,25117,31,2,12,18903,No,93797,Yes,z_F,<High School,Clerical,48,Private,17330,4,Minivan,no,0,0,No,0,0,7,0,Highly Urban/ Urban
235358484,0,25986,28,1,13,44077,No,170598,Yes,z_F,z_High School,z_Blue Collar,29,Commercial,8710,6,z_SUV,no,8935,2,No,0,6857,1,1,Highly Urban/ Urban
528040687,0,20492,43,0,13,37214,No,,Yes,M,<High School,z_Blue Collar,52,Commercial,26560,1,Panel Truck,yes,0,0,No,3,3627,1,1,Highly Urban/ Urban
